DATE,CUSR0000SAF116_PC1
1975-09-01,5.24642
1975-10-01,4.73186
1975-11-01,4.22535
1975-12-01,4.04984
1976-01-01,3.24074
1976-02-01,2.60337
1976-03-01,2.74809
1976-04-01,3.05344
1976-05-01,3.20122
1976-06-01,3.34855
1976-07-01,3.79939
1976-08-01,3.31825
1976-09-01,3.47432
1976-10-01,3.61446
1976-11-01,3.45345
1976-12-01,3.59281
1977-01-01,3.43797
1977-02-01,2.98507
1977-03-01,2.67459
1977-04-01,2.51852
1977-05-01,2.51108
1977-06-01,2.65096
1977-07-01,2.78184
1977-08-01,2.33577
1977-09-01,2.91971
1977-10-01,2.76163
1977-11-01,3.33817
1977-12-01,3.03468
1978-01-01,3.61272
1978-02-01,4.49275
1978-03-01,4.92041
1978-04-01,5.49133
1978-05-01,5.90778
1978-06-01,5.88235
1978-07-01,5.69801
1978-08-01,6.56205
1978-09-01,6.66667
1978-10-01,7.07214
1978-11-01,6.88202
1978-12-01,7.57363
1979-01-01,7.67085
1979-02-01,7.90569
1979-03-01,7.86207
1979-04-01,7.67123
1979-05-01,7.75510
1979-06-01,7.85908
1979-07-01,7.81671
1979-08-01,7.49665
1979-09-01,7.44681
1979-10-01,7.92602
1979-11-01,8.40999
1979-12-01,8.21382
1980-01-01,8.03109
1980-02-01,7.58355
1980-03-01,7.54476
1980-04-01,8.14249
1980-05-01,8.08081
1980-06-01,8.29146
1980-07-01,8.37500
1980-08-01,8.84184
1980-09-01,8.78713
1980-10-01,8.20073
1980-11-01,7.51515
1980-12-01,7.59036
1981-01-01,8.03357
1981-02-01,8.48268
1981-03-01,8.44233
1981-04-01,7.64706
1981-05-01,7.47664
1981-06-01,7.19258
1981-07-01,7.15110
1981-08-01,6.75057
1981-09-01,6.82594
1981-10-01,5.76923
1981-11-01,6.08794
1981-12-01,5.71109
1982-01-01,5.21643
1982-02-01,4.84581
1982-03-01,4.82456
1982-04-01,4.80874
1982-05-01,4.56522
1982-06-01,4.32900
1982-07-01,4.30571
1982-08-01,4.39443
1982-09-01,3.83387
1982-10-01,4.38503
1982-11-01,4.25080
1982-12-01,4.13136
1983-01-01,3.48101
1983-02-01,3.88655
1983-03-01,4.28870
1983-04-01,4.48384
1983-05-01,4.36590
1983-06-01,4.35685
1983-07-01,3.92157
1983-08-01,3.38809
1983-09-01,3.89744
1983-10-01,3.99590
1983-11-01,3.26198
1983-12-01,2.84842
1984-01-01,3.46585
1984-02-01,3.03337
1984-03-01,2.60782
1984-04-01,2.39521
1984-05-01,2.29084
1984-06-01,2.48509
1984-07-01,2.48262
1984-08-01,2.58193
1984-09-01,2.07305
1984-10-01,2.36453
1984-11-01,2.46792
1984-12-01,2.67062
1985-01-01,2.46305
1985-02-01,2.74779
1985-03-01,2.63930
1985-04-01,2.43665
1985-05-01,2.82376
1985-06-01,2.42483
1985-07-01,2.32558
1985-08-01,2.71055
1985-09-01,2.80464
1985-10-01,5.48604
1985-11-01,5.49133
1985-12-01,5.49133
1986-01-01,5.86538
1986-02-01,5.53964
1986-03-01,5.42857
1986-04-01,5.61370
1986-05-01,5.11364
1986-06-01,5.39773
1986-07-01,5.58712
1986-08-01,4.90104
1986-09-01,4.89182
1986-10-01,1.73358
1986-11-01,1.82648
1986-12-01,2.00913
1987-01-01,2.45232
1987-02-01,2.08145
1987-03-01,1.89702
1987-04-01,1.89189
1987-05-01,2.25225
1987-06-01,2.24618
1987-07-01,2.33184
1987-08-01,2.87511
1987-09-01,2.95964
1987-10-01,3.31839
1987-11-01,3.76682
1987-12-01,3.76007
1988-01-01,3.01418
1988-02-01,3.54610
1988-03-01,3.98936
1988-04-01,4.15561
1988-05-01,3.87665
1988-06-01,4.13005
1988-07-01,4.20684
1988-08-01,4.10480
1988-09-01,4.09408
1988-10-01,3.99306
1988-11-01,3.88937
1988-12-01,3.96894
1989-01-01,3.87263
1989-02-01,3.76712
1989-03-01,3.75107
1989-04-01,3.65025
1989-05-01,4.24088
1989-06-01,4.05063
1989-07-01,4.03701
1989-08-01,4.27852
1989-09-01,4.35146
1989-10-01,4.50751
1989-11-01,4.65890
1989-12-01,4.73029
1990-01-01,4.97100
1990-02-01,4.78548
1990-03-01,4.84799
1990-04-01,4.75020
1990-05-01,4.63792
1990-06-01,4.70397
1990-07-01,4.76960
1990-08-01,4.58568
1990-09-01,4.81155
1990-10-01,4.63259
1990-11-01,4.29253
1990-12-01,4.19968
1991-01-01,8.76085
1991-02-01,11.57480
1991-03-01,11.20690
1991-04-01,11.18061
1991-05-01,10.73095
1991-06-01,10.61193
1991-07-01,10.49383
1991-08-01,10.53846
1991-09-01,10.40551
1991-10-01,10.30534
1991-11-01,10.06098
1991-12-01,9.96198
1992-01-01,5.37010
1992-02-01,2.82287
1992-03-01,3.17125
1992-04-01,3.16456
1992-05-01,3.30056
1992-06-01,3.15126
1992-07-01,3.00279
1992-08-01,2.71399
1992-09-01,2.56410
1992-10-01,2.56055
1992-11-01,2.90859
1992-12-01,2.83541
1993-01-01,2.61708
1993-02-01,2.33356
1993-03-01,1.77596
1993-04-01,1.70416
1993-05-01,1.42760
1993-06-01,1.42566
1993-07-01,1.35593
1993-08-01,1.49051
1993-09-01,1.35135
1993-10-01,1.34953
1993-11-01,1.21131
1993-12-01,1.47949
1994-01-01,1.54362
1994-02-01,1.27431
1994-03-01,1.34228
1994-04-01,1.27346
1994-05-01,1.34048
1994-06-01,1.40562
1994-07-01,1.40468
1994-08-01,1.13485
1994-09-01,1.06667
1994-10-01,0.99867
1994-11-01,1.26330
1994-12-01,0.86150
1995-01-01,0.59484
1995-02-01,0.79470
1995-03-01,1.19205
1995-04-01,1.38981
1995-05-01,1.58730
1995-06-01,1.51815
1995-07-01,1.51715
1995-08-01,2.17822
1995-09-01,2.04485
1995-10-01,2.17535
1995-11-01,2.03546
1995-12-01,1.97109
1996-01-01,2.36531
1996-02-01,2.82523
1996-03-01,2.81414
1996-04-01,2.87206
1996-05-01,2.86458
1996-06-01,2.99090
1996-07-01,3.11891
1996-08-01,2.77778
1996-09-01,3.16742
1996-10-01,3.35484
1996-11-01,3.21750
1996-12-01,3.60825
1997-01-01,3.46598
1997-02-01,3.25879
1997-03-01,2.99173
1997-04-01,2.85533
1997-05-01,2.84810
1997-06-01,2.65152
1997-07-01,2.77253
1997-08-01,2.70270
1997-09-01,2.50627
1997-10-01,2.24719
1997-11-01,2.18204
1997-12-01,2.11443
1998-01-01,2.10918
1998-02-01,1.91832
1998-03-01,1.91595
1998-04-01,1.85071
1998-05-01,1.53846
1998-06-01,1.78352
1998-07-01,1.59411
1998-08-01,1.46879
1998-09-01,1.71149
1998-10-01,1.77045
1998-11-01,1.89140
1998-12-01,1.94884
1999-01-01,1.82260
1999-02-01,2.36794
1999-03-01,2.12250
1999-04-01,2.24107
1999-05-01,2.60606
1999-06-01,2.41692
1999-07-01,2.53470
1999-08-01,2.65380
1999-09-01,2.58413
1999-10-01,2.27954
1999-11-01,2.51497
1999-12-01,2.62843
2000-01-01,2.86396
2000-02-01,2.60973
2000-03-01,3.02850
2000-04-01,2.84360
2000-05-01,2.65800
2000-06-01,2.89086
2000-07-01,3.11948
2000-08-01,3.17274
2000-09-01,2.81195
2000-10-01,3.16716
2000-11-01,3.03738
2000-12-01,2.73574
2001-01-01,2.78422
2001-02-01,2.71676
2001-03-01,2.47839
2001-04-01,2.59217
2001-05-01,2.70426
2001-06-01,2.69495
2001-07-01,2.56849
2001-08-01,2.50569
2001-09-01,2.79202
2001-10-01,2.78567
2001-11-01,2.72109
2001-12-01,2.49292
2002-01-01,2.59594
2002-02-01,2.75746
2002-03-01,2.64342
2002-04-01,2.69512
2002-05-01,2.68908
2002-06-01,2.45673
2002-07-01,2.28158
2002-08-01,2.33333
2002-09-01,1.94013
2002-10-01,2.15708
2002-11-01,2.15232
2002-12-01,2.21117
2003-01-01,2.20022
2003-02-01,1.75246
2003-03-01,2.08219
2003-04-01,1.85894
2003-05-01,1.80033
2003-06-01,1.85286
2003-07-01,1.84984
2003-08-01,1.62866
2003-09-01,2.12072
2003-10-01,1.89496
2003-11-01,1.94489
2003-12-01,2.37966
2004-01-01,2.04521
2004-02-01,2.09903
2004-03-01,2.20075
2004-04-01,2.79120
2004-05-01,2.62594
2004-06-01,2.78224
2004-07-01,2.67094
2004-08-01,2.93803
2004-09-01,2.98190
2004-10-01,2.92242
2004-11-01,2.96767
2004-12-01,2.85261
2005-01-01,2.63713
2005-02-01,2.79389
2005-03-01,2.52101
2005-04-01,2.08877
2005-05-01,1.98433
2005-06-01,1.82197
2005-07-01,1.87305
2005-08-01,1.76440
2005-09-01,1.70631
2005-10-01,1.65204
2005-11-01,1.64694
2005-12-01,1.23267
2006-01-01,1.90134
2006-02-01,2.15385
2006-03-01,2.20287
2006-04-01,2.14834
2006-05-01,2.71377
2006-06-01,2.91411
2006-07-01,2.80899
2006-08-01,2.70270
2006-09-01,2.44026
2006-10-01,2.59015
2006-11-01,2.27848
2006-12-01,2.33384
2007-01-01,2.48361
2007-02-01,2.38353
2007-03-01,2.79348
2007-04-01,3.07762
2007-05-01,2.88584
2007-06-01,2.91605
2007-07-01,3.16592
2007-08-01,3.51390
2007-09-01,3.50124
2007-10-01,3.51931
2007-11-01,3.65198
2007-12-01,3.79574
2008-01-01,3.62259
2008-02-01,3.74017
2008-03-01,3.31004
2008-04-01,3.58569
2008-05-01,3.36258
2008-06-01,3.16407
2008-07-01,3.21997
2008-08-01,3.25647
2008-09-01,3.67049
2008-10-01,3.71816
2008-11-01,4.06396
2008-12-01,4.53534
2009-01-01,4.07433
2009-02-01,3.58784
2009-03-01,3.65381
2009-04-01,2.99446
2009-05-01,3.06428
2009-06-01,3.12738
2009-07-01,3.00662
2009-08-01,2.71989
2009-09-01,2.49572
2009-10-01,2.42019
2009-11-01,2.28835
2009-12-01,1.75096
2010-01-01,1.41810
2010-02-01,1.31087
2010-03-01,1.20946
2010-04-01,1.24720
2010-05-01,1.17253
2010-06-01,1.05168
2010-07-01,1.27533
2010-08-01,1.17628
2010-09-01,1.15656
2010-10-01,1.12320
2010-11-01,0.84308
2010-12-01,0.86625
2011-01-01,1.13103
2011-02-01,1.47271
2011-03-01,1.45777
2011-04-01,1.69237
2011-05-01,2.01983
2011-06-01,2.03747
2011-07-01,1.43725
2011-08-01,1.60378
2011-09-01,1.45248
2011-10-01,1.33153
2011-11-01,1.24894
2011-12-01,1.35968
2012-01-01,2.15713
2012-02-01,2.20807
2012-03-01,1.96011
2012-04-01,1.73320
2012-05-01,1.56740
2012-06-01,1.85114
2012-07-01,1.88375
2012-08-01,1.53799
2012-09-01,1.68715
2012-10-01,1.57588
2012-11-01,1.75384
2012-12-01,1.87160
2013-01-01,1.17533
2013-02-01,1.30925
2013-03-01,1.61057
2013-04-01,1.76366
2013-05-01,1.56360
2013-06-01,1.35956
2013-07-01,1.71868
2013-08-01,2.01511
2013-09-01,1.76985
2013-10-01,1.87711
2013-11-01,1.84799
2013-12-01,1.80488
2014-01-01,1.58993
2014-02-01,1.02015
2014-03-01,1.03929
2014-04-01,0.93255
2014-05-01,1.08117
2014-06-01,0.95218
2014-07-01,0.68955
2014-08-01,1.16412
2014-09-01,1.22241
2014-10-01,1.09533
2014-11-01,1.67410
2014-12-01,1.23034
2015-01-01,1.03037
2015-02-01,1.26909
2015-03-01,1.25313
2015-04-01,1.12793
2015-05-01,1.28302
2015-06-01,1.03186
2015-07-01,1.20194
2015-08-01,0.66793
2015-09-01,0.59312
2015-10-01,0.99779
2015-11-01,0.31488
2015-12-01,0.52590
2016-01-01,1.19515
2016-02-01,1.36129
2016-03-01,1.18658
2016-04-01,1.30829
